Combination,Size,LPT,ERT,EDD,FDD,ODD,LST,CI,Size-ANN,LPT-ANN,ERT-ANN,EDD-ANN,FDD-ANN,ODD-ANN,LST-ANN,CI-ANN
10_20_10_30_6,76445.43,36072.97,435.22,19918.47,4382.55,597.61,299.41,50826.36,0,9.61,0,0,21.33,0,0,9.33
10_20_10_30_10,158866.42,232586.78,19550.59,74394.6,22982.85,45673.18,53355.15,229569.98,1401.21,5.05,0,0,0,0,7008.75,0.76
10_20_10_45_6,164340,111203.64,12298.18,20855.45,12310.91,43599.09,9624.55,185520,0,16.36,0,0,0,0,5.45,10.91
10_20_10_45_10,127413.54,223645.36,54980.93,21916.5,63185.62,53220.75,29741.03,193365.02,0,815.72,0,5.8,3.24,9.04,0,0
10_20_15_30_6,778.82,884.68,322.65,565.3,201.02,315.84,621.58,1235.4,20.51,63.98,0.12,16.33,2.49,2.49,10.34,59.75
10_20_15_30_10,189.16,258.11,92.13,171.94,73.33,120.31,226.09,342.79,3.84,15.59,3.9,0,3.55,1,0.2,0
10_20_15_45_6,3870.78,4295.83,2184.58,937.06,646.89,880.01,1035.18,6226,1.74,78.13,0,0,0,0,0,70
10_20_15_45_10,10764.88,67980.22,28763.11,2196,1516.15,32921.84,1922.82,4062.32,0.04,1.24,0.04,0.04,0,2.12,0.04,13.84
10_30_10_30_6,163140.22,148386.72,44196.02,111.67,49055.23,23333.98,234.42,195908.58,0,17.97,2.55,0,6.67,5.83,0,40.88
10_30_10_30_10,169599.79,339662.75,18829.35,74381.31,20748.56,97831.12,83208.94,243558.61,0,3601.32,0,10.71,0,0,0,0
10_30_10_45_6,116198.86,115780.38,46599.43,24333.33,33994.1,40889.33,24728,83285.52,0,0,0,0,0,0,0,0
10_30_10_45_10,2775.47,3573.94,675.21,158.54,921.33,1252.55,369.2,2722.86,0,41.41,0,0,0,0,0,36
10_30_15_30_6,702.58,886.7,187.53,232.75,182.39,600.06,281.25,944.86,18.89,14.56,0,10.92,4.74,1.05,22.84,0
10_30_15_30_10,614.67,617.67,63.13,120.84,131.43,187.35,134.03,479.46,0,6.26,0,0,0,1.04,0,1.64
10_30_15_45_6,116829.13,104438.93,46864.17,9411.85,11264.28,5366.12,10441.38,72123.42,800,0,0,0,0,800,0,800
10_30_15_45_10,198809.63,158869.33,29159.46,7291.32,42895.53,78184.34,7315.29,271550.39,0,26.97,2.14,0,0,1.16,0,0
12_20_10_30_6,150398.73,79501.88,31454.87,61911.84,25475.55,66956.02,19526.31,112212.74,12600.57,11.24,0.57,10.65,14.4,0.57,17.51,13.9
12_20_10_30_10,111666.77,206497.55,36714.06,76515.74,75546.69,28138.9,83278.1,109878.48,51.68,2640.44,1.56,22.55,20.91,0,33.1,1222.9
12_20_10_45_6,323400,380400,122400,43200,106600,121800,106200,363400,4800,5200,800,5000,0,1200,800,1200
12_20_10_45_10,196449.26,133871.84,57408.41,140167.98,53709.02,118393.82,128222.83,195876.37,72.04,5222.59,5,15,0.37,14.63,2603.33,5200.37
12_20_15_30_6,383.51,500.02,248.61,228.64,153.37,114.11,186.05,530.62,8.08,30.1,5.03,10.71,1.66,1.51,4.17,1.03
12_20_15_30_10,452.09,459.83,280,219.15,172.46,129.95,318.35,547.7,11.24,21.48,16.56,10.1,7.92,11.51,16.12,10.39
12_20_15_45_6,79915.61,61972.08,29447.33,432.86,5373.5,21236.19,757.48,72105.51,96.52,26.08,12.38,5.38,7.8,16.85,5.9,46.08
12_20_15_45_10,219074.32,368402.47,124882.98,67888.7,100026,84528.42,52898.63,317527.54,0,82.86,47.13,81.43,20.71,0.71,1620,6025.71
12_30_10_30_6,275718.62,108333.94,39805.55,54793.07,79490.08,89497.29,70695.53,308440.02,1843.75,71.25,0,0,0,9.3,0,0
12_30_10_30_10,413893.89,283050.3,15787.29,240103.78,89590.39,157409.56,230603.18,376968.48,1218.85,4861.72,32.69,15211.58,35,3211.58,1200,8413.4
12_30_10_45_6,144320.32,162461.9,12955.16,56755.29,6579.36,93894.36,96424.28,126494.91,0,1656.53,0,0,0,3.36,31.93,21.93
12_30_10_45_10,158156.43,152558.21,14104.99,3887.12,7159.69,72163.83,18723.99,141307.42,1.18,1609.6,0.53,21.7,0.53,6.32,6.44,1.18
12_30_15_30_6,688.19,509.32,160.85,283.68,179.64,180.52,234.14,613.78,24.97,15.76,4.98,10.31,6.3,11.8,18.93,18.82
12_30_15_30_10,832.69,786.57,348.09,209.22,339.71,150.09,208.88,696.02,38.34,45.23,22.24,0.95,5.98,0.95,0.82,1.6
12_30_15_45_6,296328.67,380962.16,56641.46,92302.89,37028.27,47555.84,39066.7,369933.79,6800,8429.56,0,0,0,8.22,3.56,0
12_30_15_45_10,301036.6,79067.31,18733.1,10373.25,19033.34,45537.12,33372.86,258416.13,2813.22,2883.09,1.97,21.39,2.64,66.19,2827.83,4407.83
